timestep,message
24,"[Pogoda] Wiatr: 0.9 km/h | Słońce: 81%
[Produkcja] OZE: 0.1 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 0.1 MW | Stan: CRITICAL"
23,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
23,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
23,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o 3.5 MW w ciągu 5 kroków
25,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
25,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
25,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
25,"[Pogoda] Wiatr: 4.2 km/h | Słońce: 70%
[Produkcja] OZE: 1.8 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 1.8 MW | Stan: CRITICAL"
24,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
24,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
24,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o 5.9 MW w ciągu 5 kroków
26,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
26,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
26,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
26,"[Pogoda] Wiatr: 5.3 km/h | Słońce: 79%
[Produkcja] OZE: 2.9 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 2.9 MW | Stan: CRITICAL"
25,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
25,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
25,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o 2.2 MW w ciągu 5 kroków
27,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
27,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
27,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
27,"[Pogoda] Wiatr: 6.5 km/h | Słońce: 82%
[Produkcja] OZE: 4.2 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 4.2 MW | Stan: CRITICAL"
26,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
26,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
26,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o 0.6 MW w ciągu 5 kroków
28,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
28,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
28,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
28,"[Pogoda] Wiatr: 6.5 km/h | Słońce: 81%
[Produkcja] OZE: 4.2 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 4.2 MW | Stan: CRITICAL"
27,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
27,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
27,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
29,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
29,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
29,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
29,"[Pogoda] Wiatr: 6.3 km/h | Słońce: 80%
[Produkcja] OZE: 4.0 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 4.0 MW | Stan: CRITICAL"
28,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
28,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
28,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o 3.9 MW w ciągu 5 kroków
30,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
30,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
30,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
30,"[Pogoda] Wiatr: 3.7 km/h | Słońce: 84%
[Produkcja] OZE: 1.4 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 16.0 MW | Bilans: 1.4 MW | Stan: CRITICAL"
29,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
29,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
29,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
1781010523,Predictor: zmiana mocy OZE o -0.5 MW w ciągu 5 kroków
1781010524,Predictor: zmiana mocy OZE o 6.8 MW w ciągu 5 kroków
31,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
31,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
31,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
31,"[Pogoda] Wiatr: 4.8 km/h | Słońce: 88%
[Produkcja] OZE: 1.8 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 1.8 MW | Stan: CRITICAL"
30,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
30,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
30,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
1781010524,Predictor: zmiana mocy OZE o 0.2 MW w ciągu 5 kroków
32,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
32,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
32,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
32,"[Pogoda] Wiatr: 2.8 km/h | Słońce: 94%
[Produkcja] OZE: 0.8 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 0.8 MW | Stan: CRITICAL"
31,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
31,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
